measurement_id,congestion_index,status
1,0.617,Low
2,0.587,Low
3,0.613,Low
4,0.527,Low
5,0.62,Low
6,0.623,Low
7,0.59,Low
8,0.47,Low
9,0.607,Low
10,0.657,Low
11,0.51,Low
12,0.63,Low
13,0.543,Low
14,0.54,Low
15,0.727,Medium
16,0.537,Low
17,0.507,Low
18,0.563,Low
19,0.57,Low
20,0.61,Low
21,0.607,Low
22,0.633,Low
23,0.48,Low
24,0.573,Low
25,0.537,Low
26,0.477,Low
27,0.627,Low
28,0.643,Low
29,0.463,Low
30,0.667,Low
31,0.58,Low
32,0.54,Low
33,0.653,Low
34,0.63,Low
35,0.527,Low
36,0.717,Medium
37,0.56,Low
38,0.573,Low
39,0.617,Low
40,0.62,Low
41,0.617,Low
42,0.69,Low
43,0.65,Low
44,0.59,Low
45,0.65,Low
46,0.63,Low
47,0.713,Medium
48,0.697,Low
49,0.573,Low
50,0.6,Low
51,0.557,Low
52,0.663,Low
53,0.583,Low
54,0.717,Medium
55,0.8,Medium
56,0.587,Low
57,0.677,Low
58,0.627,Low
59,0.6,Low
60,0.727,Medium
61,0.633,Low
62,0.553,Low
63,0.677,Low
64,0.697,Low
65,0.573,Low
66,0.66,Low
67,0.657,Low
68,0.64,Low
69,0.707,Medium
70,0.677,Low
71,0.57,Low
72,0.737,Medium
73,0.617,Low
74,0.583,Low
75,0.66,Low
76,0.67,Low
77,0.583,Low
78,0.78,Medium
79,0.747,Medium
80,0.63,Low
81,0.84,Medium
82,0.71,Medium
83,0.64,Low
84,0.78,Medium
85,0.723,Medium
86,0.66,Low
87,0.673,Low
88,0.64,Low
89,0.753,Medium
90,0.747,Medium
91,0.71,Medium
92,1.0,High
93,0.83,Medium
94,0.767,Medium
95,0.663,Low
96,0.777,Medium
97,0.65,Low
98,0.713,Medium
99,0.793,Medium
100,0.753,Medium
101,0.67,Low
102,0.787,Medium
103,0.777,Medium
104,0.703,Medium
105,0.727,Medium
106,0.78,Medium
107,0.713,Medium
108,0.903,Medium
109,0.803,Medium
110,0.72,Medium
111,0.783,Medium
112,0.773,Medium
113,0.623,Low
114,0.9,Medium
