id,nama_tol,lokasi,timestamp,jumlah_mobil,jumlah_bus,jumlah_truck,jumlah_kendaraan,jumlah_bobot_kendaraan,congestion_index,status,skip_reason
176,Tol Jagorawi,KM 10-13,2026-02-06 06:58:00,50,4,8,62,64.4,1.073,High,"line 177: congestion_index out of [0,1]: 1.073"
177,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 06:58:00,45,5,8,58,60.6,1.01,High,"line 178: congestion_index out of [0,1]: 1.01"
183,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:00:00,44,5,9,58,60.8,1.013,High,"line 184: congestion_index out of [0,1]: 1.013"
192,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:03:00,48,5,8,61,63.6,1.06,High,"line 193: congestion_index out of [0,1]: 1.06"
195,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:04:00,51,6,10,67,70.2,1.17,High,"line 196: congestion_index out of [0,1]: 1.17"
196,Tol JORR,KM 30-33,2026-02-06 07:05:00,44,5,9,58,60.8,1.013,High,"line 197: congestion_index out of [0,1]: 1.013"
198,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:05:00,54,3,4,61,62.4,1.04,High,"line 199: congestion_index out of [0,1]: 1.04"
201,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:06:00,49,4,7,60,62.2,1.037,High,"line 202: congestion_index out of [0,1]: 1.037"
202,Tol JORR,KM 30-33,2026-02-06 07:07:00,50,3,6,59,60.8,1.013,High,"line 203: congestion_index out of [0,1]: 1.013"
207,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:08:00,46,3,10,59,61.6,1.027,High,"line 208: congestion_index out of [0,1]: 1.027"
210,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:09:00,52,4,10,66,68.8,1.147,High,"line 211: congestion_index out of [0,1]: 1.147"
213,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:10:00,47,5,7,59,61.4,1.023,High,"line 214: congestion_index out of [0,1]: 1.023"
214,Tol JORR,KM 30-33,2026-02-06 07:11:00,52,3,7,62,64.0,1.067,High,"line 215: congestion_index out of [0,1]: 1.067"
216,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:11:00,48,6,5,59,61.2,1.02,High,"line 217: congestion_index out of [0,1]: 1.02"
217,Tol JORR,KM 30-33,2026-02-06 07:12:00,47,3,9,59,61.4,1.023,High,"line 218: congestion_index out of [0,1]: 1.023"
219,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:12:00,53,2,6,61,62.6,1.043,High,"line 220: congestion_index out of [0,1]: 1.043"
222,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:13:00,47,5,8,60,62.6,1.043,High,"line 223: congestion_index out of [0,1]: 1.043"
226,Tol JORR,KM 30-33,2026-02-06 07:15:00,47,5,8,60,62.6,1.043,High,"line 227: congestion_index out of [0,1]: 1.043"
228,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:15:00,47,5,6,58,60.2,1.003,High,"line 229: congestion_index out of [0,1]: 1.003"
231,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:16:00,55,2,8,65,67.0,1.117,High,"line 232: congestion_index out of [0,1]: 1.117"
232,Tol JORR,KM 30-33,2026-02-06 07:17:00,52,3,5,60,61.6,1.027,High,"line 233: congestion_index out of [0,1]: 1.027"
233,Tol Jagorawi,KM 10-13,2026-02-06 07:17:00,50,5,4,59,60.8,1.013,High,"line 234: congestion_index out of [0,1]: 1.013"
234,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:17:00,52,4,7,63,65.2,1.087,High,"line 235: congestion_index out of [0,1]: 1.087"
237,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:18:00,58,3,10,71,73.6,1.227,High,"line 238: congestion_index out of [0,1]: 1.227"
238,Tol JORR,KM 30-33,2026-02-06 07:19:00,48,5,6,59,61.2,1.02,High,"line 239: congestion_index out of [0,1]: 1.02"
