measurement_id,jumlah_mobil,jumlah_bus,jumlah_truck,jumlah_kendaraan,jumlah_bobot_kendaraan
1,31,2,3,36,37.0
2,28,1,5,34,35.2
3,26,2,7,35,36.8
4,22,4,4,30,31.6
5,30,3,3,36,37.2
6,29,3,4,36,37.4
7,27,3,4,34,35.4
8,21,2,4,27,28.2
9,28,2,5,35,36.4
10,31,2,5,38,39.4
11,27,0,3,30,30.6
12,27,4,5,36,37.8
13,23,2,6,31,32.6
14,24,2,5,31,32.4
15,34,2,6,42,43.6
16,25,3,3,31,32.2
17,22,4,3,29,30.4
18,29,0,4,33,33.8
19,27,3,3,33,34.2
20,27,2,6,35,36.6
21,28,3,4,35,36.4
22,32,2,3,37,38.0
23,24,0,4,28,28.8
24,26,2,5,33,34.4
25,25,1,5,31,32.2
26,25,0,3,28,28.6
27,28,3,5,36,37.6
28,35,1,2,38,38.6
29,23,2,2,27,27.8
30,34,1,4,39,40.0
31,30,2,2,34,34.8
32,24,2,5,31,32.4
33,32,2,4,38,39.2
34,33,1,3,37,37.8
35,28,1,2,31,31.6
36,31,5,5,41,43.0
37,30,2,1,33,33.6
38,26,3,4,33,34.4
39,31,1,4,36,37.0
40,30,2,4,36,37.2
41,31,3,2,36,37.0
42,33,2,5,40,41.4
43,27,4,6,37,39.0
44,27,3,4,34,35.4
45,33,2,3,38,39.0
46,27,3,6,36,37.8
47,32,3,6,41,42.8
48,31,3,6,40,41.8
49,26,3,4,33,34.4
50,30,2,3,35,36.0
51,25,3,4,32,33.4
52,29,3,6,38,39.8
53,29,3,2,34,35.0
54,31,3,7,41,43.0
55,36,2,8,46,48.0
56,28,1,5,34,35.2
57,31,1,7,39,40.6
58,28,3,5,36,37.6
59,30,2,3,35,36.0
60,34,3,5,42,43.6
61,32,1,4,37,38.0
62,26,2,4,32,33.2
63,31,3,5,39,40.6
64,31,4,5,40,41.8
65,26,3,4,33,34.4
66,30,1,7,38,39.6
67,31,3,4,38,39.4
68,30,2,5,37,38.4
69,34,0,7,41,42.4
70,31,4,4,39,40.6
71,27,3,3,33,34.2
72,37,2,4,43,44.2
73,31,1,4,36,37.0
74,29,2,3,34,35.0
75,30,3,5,38,39.6
76,33,3,3,39,40.2
77,29,2,3,34,35.0
78,36,4,5,45,46.8
79,34,4,5,43,44.8
80,27,3,6,36,37.8
81,42,3,4,49,50.4
82,33,2,6,41,42.6
83,30,3,4,37,38.4
84,36,3,6,45,46.8
85,35,2,5,42,43.4
86,30,3,5,38,39.6
87,32,2,5,39,40.4
88,30,4,3,37,38.4
89,32,2,9,43,45.2
90,34,3,6,43,44.8
91,33,3,5,41,42.6
92,42,6,9,57,60.0
93,39,2,7,48,49.8
94,40,3,2,45,46.0
95,29,3,6,38,39.8
96,37,2,6,45,46.6
97,33,3,2,38,39.0
98,32,4,5,41,42.8
99,38,3,5,46,47.6
100,38,2,4,44,45.2
101,33,3,3,39,40.2
102,34,3,8,45,47.2
103,37,3,5,45,46.6
104,35,2,4,41,42.2
105,34,3,5,42,43.6
106,36,4,5,45,46.8
107,32,2,7,41,42.8
108,47,2,4,53,54.2
109,35,4,7,46,48.2
110,36,3,3,42,43.2
111,35,4,6,45,47.0
112,38,2,5,45,46.4
113,29,3,4,36,37.4
114,42,5,5,52,54.0
115,36,3,8,47,49.2
116,34,4,6,44,46.0
117,44,3,5,52,53.6
118,42,1,4,47,48.0
119,32,3,6,41,42.8
120,39,5,4,48,49.8
121,37,2,6,45,46.6
122,31,3,5,39,40.6
123,43,2,8,53,55.0
124,39,4,4,47,48.6
125,37,3,5,45,46.6
126,40,4,5,49,50.8
127,40,3,6,49,50.8
128,39,3,5,47,48.6
129,38,3,6,47,48.8
130,34,4,5,43,44.8
131,38,4,5,47,48.8
132,37,4,9,50,52.6
133,44,3,4,51,52.4
134,34,4,6,44,46.0
135,39,3,6,48,49.8
136,40,3,7,50,52.0
137,31,2,6,39,40.6
138,42,1,9,52,54.0
139,32,4,10,46,48.8
140,40,4,3,47,48.4
141,45,4,5,54,55.8
142,37,4,4,45,46.6
143,40,3,6,49,50.8
144,45,3,4,52,53.4
145,35,4,7,46,48.2
146,39,3,1,43,43.8
147,43,4,6,53,55.0
148,40,3,7,50,52.0
149,41,4,5,50,51.8
150,42,3,6,51,52.8
151,39,4,6,49,51.0
152,42,2,7,51,52.8
153,43,1,6,50,51.4
154,35,5,10,50,53.0
155,37,3,5,45,46.6
156,46,3,6,55,56.8
157,40,2,6,48,49.6
158,40,4,8,52,54.4
159,46,3,8,57,59.2
160,46,3,6,55,56.8
161,39,1,5,45,46.2
162,41,5,7,53,55.4
163,35,4,7,46,48.2
164,38,4,6,48,50.0
165,43,3,8,54,56.2
166,34,4,7,45,47.2
167,39,2,5,46,47.4
168,41,3,7,51,53.0
169,46,3,6,55,56.8
170,36,2,8,46,48.0
171,46,3,8,57,59.2
172,42,3,7,52,54.0
173,39,4,4,47,48.6
174,44,3,8,55,57.2
175,39,3,8,50,52.2
176,40,3,8,51,53.2
177,44,2,8,54,56.0
178,46,3,6,55,56.8
179,47,3,5,55,56.6
180,39,4,7,50,52.2
181,41,3,4,48,49.4
182,41,4,7,52,54.2
183,51,3,4,58,59.4
184,46,2,3,51,52.0
185,40,2,6,48,49.6
186,46,4,3,53,54.4
187,45,5,5,55,57.0
188,44,4,4,52,53.6
189,40,6,7,53,55.6
190,40,3,4,47,48.4
191,45,5,7,57,59.4
192,40,5,7,52,54.4
193,40,5,6,51,53.2
194,40,3,6,49,50.8
195,45,6,5,56,58.2
196,42,4,8,54,56.4
197,47,4,5,56,57.8
198,43,5,7,55,57.4
199,43,3,7,53,55.0
200,44,4,7,55,57.2
201,42,3,7,52,54.0
202,48,4,4,56,57.6
203,42,3,5,50,51.6
204,40,4,9,53,55.6
205,43,4,7,54,56.2
206,45,5,7,57,59.4
207,44,4,9,57,59.6
208,50,1,7,58,59.6
209,42,3,6,51,52.8
210,44,1,8,53,54.8
211,41,5,8,54,56.6
212,42,3,7,52,54.0
213,42,3,6,51,52.8
214,48,4,4,56,57.6
215,46,3,7,56,58.0
216,46,2,5,53,54.4
217,49,3,4,56,57.4
218,42,5,9,56,58.8
219,44,3,6,53,54.8
220,43,3,5,51,52.6
221,41,4,5,50,51.8
222,46,1,10,57,59.2
223,41,3,10,54,56.6
224,48,4,6,58,60.0
225,47,2,6,55,56.6
226,46,2,6,54,55.6
